year,farmid,eff_silverman,eff_scalar,eff_product,TE_silverman,PE_silverman
1998,1307,0.6644584122855284,0.619593143173051,0.7789724107340278,0.9582502729829362,0.9842439762456311
1999,1307,0.7605197478285496,0.6402721489287335,0.6481046936372687,0.8885635300893419,0.9842439762456311
2000,1307,0.811186519777683,0.924866521667617,0.7414911397678917,1.0,0.9842439762456311
2001,1307,0.7679986703256255,0.7047729565361538,0.4199852428797647,0.9180837788287678,0.9842439762456311
2002,1307,0.8265757825660762,0.8883272659327915,0.6936506973875471,1.0,0.9842439762456311
2003,1307,0.8040480956256101,0.8777538531824078,0.7165338090954968,1.0,0.9842439762456311
2004,1307,0.8828714189177798,0.9875820447130899,0.7966372463802227,1.0,0.9842439762456311
2005,1307,0.9999999824067315,0.7957256279388454,0.7780382613160023,1.0,0.9842439762456311
1998,1308,0.6942959620946011,0.5905503862981187,0.5761113449508133,1.0,0.8908050852151291
1999,1308,0.7524573413701752,0.7725201655693176,0.5462968277925367,0.9688158691762224,0.8908050852151291
2000,1308,0.698782987019229,0.24296159902076675,0.21395157236424223,0.9137698666005447,0.8908050852151291
2000,1342,0.9643820311104567,0.3890689494920653,0.5481256568551259,0.9968983695039776,0.9992088838592472
2001,1342,0.9210324490309143,0.4301401686336954,0.6505698633950955,1.0,0.9992088838592472
2002,1342,0.957924193360051,0.46005507704992216,0.6300820350497394,1.0,0.9992088838592472
2004,1360,0.8525133652120861,0.6242947455488117,0.8336752544041689,1.0,0.9973098822738531
2005,1360,0.8999336767418415,0.8127609571464016,0.7775010404361868,1.0,0.9973098822738531
2006,1360,0.5946826049201208,0.7915620335294073,0.6678575627154528,0.9476981895413573,0.9973098822738531
2004,1361,0.9647144406356482,0.7277798959066514,0.8730748922247451,1.0,0.9459459168612753
2005,1361,0.8934470528340699,0.6475441628184299,0.6904398043192034,1.0,0.9459459168612753
2006,1361,0.735763294857262,0.5667550053087917,0.6767046258617139,0.8975259617164539,0.9459459168612753
1998,2231,0.8786182285705522,0.2958946491569919,0.29473557116649796,0.9894264424278175,0.9690919121092348
1999,2231,0.8318022415865168,0.5087705003752013,0.4459677427248689,1.0,0.9690919121092348
2000,2231,0.9498491177062955,0.7797497830078051,0.7228877485877179,0.9755466042893393,0.9690919121092348
2001,2231,0.9381490824662579,0.8687684358978539,0.8776876053545459,1.0,0.9690919121092348
2002,2231,0.7240552668903196,0.9246471840029654,0.8994641319038048,1.0,0.9690919121092348
2003,2231,0.8623570087447738,0.8017284410291233,0.7088736233628452,1.0,0.9690919121092348
2004,2231,0.860362785250725,0.8604327944049097,0.7628935086064873,1.0,0.9690919121092348
2005,2231,0.9781718286962657,0.5631679305122695,0.5141979132306983,1.0,0.9690919121092348
2006,2231,0.532731813099537,0.718817095169055,0.5207320730010965,0.7558285652169396,0.9690919121092348
1998,2240,0.9724805303136187,0.5808457147392659,0.6004345323240702,1.0,0.9559156662627983
1999,2240,0.8476677183638934,0.48079928539618694,0.42548946909161933,1.0,0.9559156662627983
2000,2240,0.9107042782120613,0.6233444520936348,0.8101438879498963,0.9702927819074003,0.9559156662627983
2001,2240,0.4503615276298737,0.5203744875554036,0.3808188613061999,0.7230323791281676,0.9559156662627983
2002,2240,0.6677124081261965,0.7330657564381036,0.4020173860084851,0.98168744957707,0.9559156662627983
2003,2240,0.9303548799816785,0.8565140745210599,0.8124703216756936,1.0,0.9559156662627983
2004,2240,0.9003777488403412,0.8354866044465278,0.8301154599411361,0.9687799514418539,0.9559156662627983
1998,2249,0.8059500519397824,0.45259670167614696,0.40300494501903744,0.9852632723322056,0.9448581061731728
1999,2249,0.5699477436520187,0.32538820998833673,0.30166730605813524,0.8013104665434548,0.9448581061731728
